step,epoch,lossD,lossG,sec_per_step
254,1,0.096091,5.164724,0.0314
255,1,0.106179,4.576868,0.0314
256,1,0.072139,4.694994,0.0314
257,1,0.180274,9.445549,0.0314
258,1,3.700619,2.568267,0.0314
259,1,0.433563,5.351394,0.0314
260,1,0.225269,2.776794,0.0314
261,1,0.134682,4.129591,0.0314
262,1,0.090747,4.276348,0.0314
263,1,0.094306,4.247385,0.0314
264,1,0.095306,4.373060,0.0314
265,1,0.112377,3.836406,0.0314
266,1,0.114492,4.088564,0.0314
267,1,0.099256,4.025702,0.0314
268,1,0.113779,3.537647,0.0314
269,1,0.137011,3.755702,0.0314
270,1,0.154205,3.486613,0.0314
271,1,0.120799,3.370519,0.0314
272,1,0.151497,4.726935,0.0314
273,1,0.147699,4.056336,0.0314
274,1,0.150766,3.609021,0.0314
275,1,0.106139,4.649497,0.0314
276,1,0.111134,4.457061,0.0314
277,1,0.059687,3.787517,0.0314
278,1,0.109560,4.743587,0.0314
279,1,0.064107,3.932300,0.0314
280,1,0.072206,4.631692,0.0314
281,1,0.085237,3.987140,0.0314
282,1,0.084327,5.108242,0.0314
283,1,0.108274,3.661434,0.0314
284,1,0.147833,5.197843,0.0314
285,1,0.096220,3.735198,0.0314
286,1,0.106694,3.948939,0.0314
287,1,0.122213,3.611540,0.0314
288,1,0.146243,3.710432,0.0314
289,1,0.180388,3.288481,0.0314
290,1,0.333414,2.249775,0.0314
291,1,0.362330,3.906049,0.0314
292,1,0.116329,3.637007,0.0314
293,1,0.077673,4.616743,0.0314
294,1,0.104490,4.810821,0.0314
295,1,0.090849,4.190426,0.0314
296,1,0.091791,4.794560,0.0314
297,1,0.078924,4.669332,0.0314
298,1,0.065304,4.620767,0.0314
299,1,0.067443,4.472801,0.0314
300,1,0.056708,4.210681,0.0314
301,1,0.070719,4.441615,0.0314
302,1,0.111610,4.587445,0.0314
303,1,0.089080,4.587019,0.0314
304,1,0.072989,4.563278,0.0314
305,1,0.086522,4.030999,0.0314
306,1,0.193282,2.976066,0.0314
307,1,0.224919,3.989638,0.0314
308,1,0.131751,4.291500,0.0314
309,1,0.088955,4.803057,0.0314
310,1,0.080284,4.123013,0.0314
311,1,0.075986,4.721974,0.0314
312,1,0.071189,4.636195,0.0314
313,1,0.050173,4.861722,0.0314
